Dv	E1	E2	E3	E4	E5	E6	E7	E8
1.662162162162162185e-02	-5.188078362064112853e-02	-4.979848677653753858e-02	6.837965237331583568e-02	6.987686014529460865e-02	-6.987686014529460865e-02	-6.837965237331583568e-02	4.979848677653753858e-02	5.188078362064112853e-02
1.682682682682682535e-02	-5.176557600333543674e-02	-4.967983674561710083e-02	6.848950918218359163e-02	6.998293012634368426e-02	-6.998293012634368426e-02	-6.848950918218359163e-02	4.967983674561710083e-02	5.176557600333543674e-02
1.703203203203203231e-02	-5.165032721687939227e-02	-4.956114754404912504e-02	6.859929367170039538e-02	7.008892558239691872e-02	-7.008892558239691872e-02	-6.859929367170039538e-02	4.956114754404912504e-02	5.165032721687939227e-02
1.723723723723723580e-02	-5.153503740919251203e-02	-4.944241931835480219e-02	6.870900556073276932e-02	7.019484623187163819e-02	-7.019484623187163819e-02	-6.870900556073276932e-02	4.944241931835480219e-02	5.153503740919251203e-02
1.744244244244244277e-02	-5.141970672771664641e-02	-4.932365221459264482e-02	6.881864456683166320e-02	7.030069179186056172e-02	-7.030069179186056172e-02	-6.881864456683166320e-02	4.932365221459264482e-02	5.141970672771664641e-02
1.764764764764764626e-02	-5.130433531942636682e-02	-4.920484637835059738e-02	6.892821040608458627e-02	7.040646197811535612e-02	-7.040646197811535612e-02	-6.892821040608458627e-02	4.920484637835059738e-02	5.130433531942636682e-02
1.785285285285285323e-02	-5.118892333083418372e-02	-4.908600195475937289e-02	6.903770279337033411e-02	7.051215650505890387e-02	-7.051215650505890387e-02	-6.903770279337033411e-02	4.908600195475937289e-02	5.118892333083418372e-02
1.805805805805805672e-02	-5.107347090798407957e-02	-4.896711908848444539e-02	6.914712144208258471e-02	7.061777508574652862e-02	-7.061777508574652862e-02	-6.914712144208258471e-02	4.896711908848444539e-02	5.107347090798407957e-02
1.826326326326326369e-02	-5.095797819646490784e-02	-4.884819792373967101e-02	6.925646606425045482e-02	7.072331743187795783e-02	-7.072331743187795783e-02	-6.925646606425045482e-02	4.884819792373967101e-02	5.095797819646490784e-02
1.846846846846846718e-02	-5.084244534140273247e-02	-4.872923860427812864e-02	6.936573637051916819e-02	7.082878325377975348e-02	-7.082878325377975348e-02	-6.936573637051916819e-02	4.872923860427812864e-02	5.084244534140273247e-02
1.867367367367367414e-02	-5.072687248746729494e-02	-4.861024127339376444e-02	6.947493207011165572e-02	7.093417226039000489e-02	-7.093417226039000489e-02	-6.947493207011165572e-02	4.861024127339376444e-02	5.072687248746729494e-02
1.887887887887887764e-02	-5.061125977888127070e-02	-4.849120607398212796e-02	6.958405287083761770e-02	7.103948415927005544e-02	-7.103948415927005544e-02	-6.958405287083761770e-02	4.849120607398212796e-02	5.061125977888127070e-02
1.908408408408408460e-02	-5.049560735941054784e-02	-4.837213314840652090e-02	6.969309847908113087e-02	7.114471865656472882e-02	-7.114471865656472882e-02	-6.969309847908113087e-02	4.837213314840652090e-02	5.049560735941054784e-02
1.928928928928928810e-02	-5.037991537237848649e-02	-4.825302263864966745e-02	6.980206859978375922e-02	7.124987545701397251e-02	-7.124987545701397251e-02	-6.980206859978375922e-02	4.825302263864966745e-02	5.037991537237848649e-02
1.949449449449449506e-02	-5.026418396065741867e-02	-4.813387468622948306e-02	6.991096293643919712e-02	7.135495426393499707e-02	-7.135495426393499707e-02	-6.991096293643919712e-02	4.813387468622948306e-02	5.026418396065741867e-02
1.969969969969969856e-02	-5.014841326668337262e-02	-4.801468943223326236e-02	7.001978119107538090e-02	7.145995477920706607e-02	-7.145995477920706607e-02	-7.001978119107538090e-02	4.801468943223326236e-02	5.014841326668337262e-02
1.990490490490490552e-02	-5.003260343244561592e-02	-4.789546701730394013e-02	7.012852306426596571e-02	7.156487670328164075e-02	-7.156487670328164075e-02	-7.012852306426596571e-02	4.789546701730394013e-02	5.003260343244561592e-02
2.011011011011010902e-02	-4.991675459949724419e-02	-4.777620758165727205e-02	7.023718825508645791e-02	7.166971973514317529e-02	-7.166971973514317529e-02	-7.023718825508645791e-02	4.777620758165727205e-02	4.991675459949724419e-02
2.031531531531531598e-02	-4.980086690895919876e-02	-4.765691126507136388e-02	7.034577646112530336e-02	7.177448357231841491e-02	-7.177448357231841491e-02	-7.034577646112530336e-02	4.765691126507136388e-02	4.980086690895919876e-02
2.052052052052051948e-02	-4.968494050151420205e-02	-4.753757820690052843e-02	7.045428737846781697e-02	7.187916791086114421e-02	-7.187916791086114421e-02	-7.045428737846781697e-02	4.753757820690052843e-02	4.968494050151420205e-02
2.072572572572572644e-02	-4.956897551745939601e-02	-4.741820854606734054e-02	7.056272070168485844e-02	7.198377244534001629e-02	-7.198377244534001629e-02	-7.056272070168485844e-02	4.741820854606734054e-02	4.956897551745939601e-02
2.093093093093092993e-02	-4.945297209650079129e-02	-4.729880242107556421e-02	7.067107612382132753e-02	7.208829686882255172e-02	-7.208829686882255172e-02	-7.067107612382132753e-02	4.729880242107556421e-02	4.945297209650079129e-02
2.113613613613613690e-02	-4.933693037815573695e-02	-4.717935997000098636e-02	7.077935333638454840e-02	7.219274087288603259e-02	-7.219274087288603259e-02	-7.077935333638454840e-02	4.717935997000098636e-02	4.933693037815573695e-02
2.134134134134134039e-02	-4.922085050136434936e-02	-4.705988133050718197e-02	7.088755202933270938e-02	7.229710414757550829e-02	-7.229710414757550829e-02	-7.088755202933270938e-02	4.705988133050718197e-02	4.922085050136434936e-02
2.154654654654654736e-02	-4.910473260467967949e-02	-4.694036663983471719e-02	7.099567189106384402e-02	7.240138638141357941e-02	-7.240138638141357941e-02	-7.099567189106384402e-02	4.694036663983471719e-02	4.910473260467967949e-02
2.175175175175175085e-02	-4.898857682624203208e-02	-4.682081603480965637e-02	7.110371260839989938e-02	7.250558726138456311e-02	-7.250558726138456311e-02	-7.110371260839989938e-02	4.682081603480965637e-02	4.898857682624203208e-02
2.195695695695695782e-02	-4.887238330376905693e-02	-4.670122965185164593e-02	7.121167386659355003e-02	7.260970647292190605e-02	-7.260970647292190605e-02	-7.121167386659355003e-02	4.670122965185164593e-02	4.887238330376905693e-02
2.216216216216216131e-02	-4.875615217456613637e-02	-4.658160762696347823e-02	7.131955534928646756e-02	7.271374369989162811e-02	-7.271374369989162811e-02	-7.131955534928646756e-02	4.658160762696347823e-02	4.875615217456613637e-02
2.236736736736736827e-02	-4.863988357553011843e-02	-4.646195009574628082e-02	7.142735673851816069e-02	7.281769862460124587e-02	-7.281769862460124587e-02	-7.142735673851816069e-02	4.646195009574628082e-02	4.863988357553011843e-02
2.257257257257257177e-02	-4.852357764314278038e-02	-4.634225719339087751e-02	7.153507771470847543e-02	7.292157092775979066e-02	-7.292157092775979066e-02	-7.153507771470847543e-02	4.634225719339087751e-02	4.852357764314278038e-02
2.277777777777777873e-02	-4.840723451348492856e-02	-4.622252905469002859e-02	7.164271795664546583e-02	7.302536028848369276e-02	-7.302536028848369276e-02	-7.164271795664546583e-02	4.622252905469002859e-02	4.840723451348492856e-02
2.298298298298298223e-02	-4.829085432222608720e-02	-4.610276581403265073e-02	7.175027714147282076e-02	7.312906638428240402e-02	-7.312906638428240402e-02	-7.175027714147282076e-02	4.610276581403265073e-02	4.829085432222608720e-02
2.318818818818818919e-02	-4.817443720463491369e-02	-4.598296760540730027e-02	7.185775494467758207e-02	7.323268889104538049e-02	-7.323268889104538049e-02	-7.185775494467758207e-02	4.598296760540730027e-02	4.817443720463491369e-02
2.339339339339339269e-02	-4.805798329558294557e-02	-4.586313456241346981e-02	7.196515104007746022e-02	7.333622748302980054e-02	-7.333622748302980054e-02	-7.196515104007746022e-02	4.586313456241346981e-02	4.805798329558294557e-02
2.359859859859859965e-02	-4.794149272953915353e-02	-4.574326681824878588e-02	7.207246509980795579e-02	7.343968183284829698e-02	-7.343968183284829698e-02	-7.207246509980795579e-02	4.574326681824878588e-02	4.794149272953915353e-02
2.380380380380380315e-02	-4.782496564057569371e-02	-4.562336450572625907e-02	7.217969679430985552e-02	7.354305161145160974e-02	-7.354305161145160974e-02	-7.217969679430985552e-02	4.562336450572625907e-02	4.782496564057569371e-02
2.400900900900901011e-02	-4.770840216237566545e-02	-4.550342775726379935e-02	7.228684579231609009e-02	7.364633648813777300e-02	-7.364633648813777300e-02	-7.228684579231609009e-02	4.550342775726379935e-02	4.770840216237566545e-02
2.421421421421421361e-02	-4.759180242822488860e-02	-4.538345670489724731e-02	7.239391176083877222e-02	7.374953613050828916e-02	-7.374953613050828916e-02	-7.239391176083877222e-02	4.538345670489724731e-02	4.759180242822488860e-02
2.441941941941942057e-02	-4.747516657102512222e-02	-4.526345148027232507e-02	7.250089436515616548e-02	7.385265020447551176e-02	-7.385265020447551176e-02	-7.250089436515616548e-02	4.526345148027232507e-02	4.747516657102512222e-02
2.462462462462462406e-02	-4.735849472328502313e-02	-4.514341221465806298e-02	7.260779326879908402e-02	7.395567837424600610e-02	-7.395567837424600610e-02	-7.260779326879908402e-02	4.514341221465806298e-02	4.735849472328502313e-02
2.482982982982983103e-02	-4.724178701712954814e-02	-4.502333903893754319e-02	7.271460813353261554e-02	7.405862030230725424e-02	-7.405862030230725424e-02	-7.271460813353261554e-02	4.502333903893754319e-02	4.724178701712954814e-02
2.503503503503503452e-02	-4.712504358430387452e-02	-4.490323208361560181e-02	7.282133861936306019e-02	7.416147564941452663e-02	-7.416147564941452663e-02	-7.282133861936306019e-02	4.490323208361560181e-02	4.712504358430387452e-02
